carbon,silicon,sulfur,phosphorus,magnesium,manganese,nickel,copper,molybdenum,chromium,aluminium,tin,graphite_precipitation,spheroid_diameter,nodularity
3.5,2.87,0.009,0.025,0.0,0.61,0.5,0.7,0.137,0.0,0.0,0.0,210.0,,
3.7,2.82,0.004,0.025,0.0,0.066,0.7,0.7,0.136,0.0,0.0,0.0,190.0,,
3.6,2.75,0.007,0.029,0.0,0.114,1.0,0.65,0.119,0.0,0.0,0.0,171.0,,
3.52,2.8,0.003,0.023,0.0,0.073,1.03,0.7,0.131,0.0,0.0,0.0,180.0,,
3.5,2.6,0.007,0.026,0.0,0.164,1.12,0.6,0.146,0.0,0.0,0.0,164.0,,
3.75,2.55,0.08,0.03,0.08,0.19,1.42,0.62,0.0,0.0,0.0,0.0,257.0,,
3.41,2.35,0.015,0.02,0.053,0.18,2.75,0.02,0.0,0.01,0.0,0.0,566.0,20.58,92.5
3.46,2.61,0.023,0.02,0.038,0.25,0.54,0.03,0.0,0.04,0.0,0.0,262.0,32.11,83.5
3.52,3.21,0.02,0.02,0.04,0.46,0.04,0.94,0.0,0.0,0.0,0.0,120.0,,100.0
3.45,2.6,0.01,0.01,0.04,0.3,5.0,1.0,0.0,0.0,0.0,0.0,120.0,,100.0
3.57,2.6,0.007,0.01,0.05,0.47,1.6,0.6,0.03,0.04,0.0,0.0,105.0,,80.0
3.6,2.5,0.014,0.014,0.066,0.28,0.0,0.45,0.0,0.04,0.0,0.0,77.0,17.0,
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,155.0,,95.0
3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,100.6,34.0,95.2
3.71,2.45,0.008,0.016,0.064,0.111,0.029,0.016,0.002,0.027,0.019,0.001,377.0,,81.0
3.45,2.75,0.006,0.022,0.071,0.105,0.028,0.015,0.001,0.028,0.018,0.001,444.0,,83.0
3.4,2.63,0.008,0.021,0.058,0.107,0.029,0.016,0.001,0.026,0.017,0.001,448.0,,81.0
3.41,2.68,0.008,0.022,0.06,0.106,0.029,0.015,0.001,0.028,0.016,0.001,467.0,,82.0
3.69,2.6,0.005,0.016,0.064,0.36,0.0,0.29,0.0,0.0,0.0,0.0,300.0,,
3.64,2.49,0.014,0.014,0.0,0.3,0.0,0.46,0.0,0.0,0.0,0.0,70.0,47.5,
3.4,2.66,0.01,0.021,0.0,0.2,1.03,1.33,0.22,0.0,0.0,0.0,50.0,,90.0
3.68,1.06,0.005,0.005,0.05,0.06,0.04,0.0,0.0,0.0,0.48,0.0,339.0,29.4,
3.44,1.22,0.005,0.005,0.05,0.1,0.05,0.0,0.0,0.0,4.88,0.0,472.0,17.2,
3.79,3.09,0.014,0.046,0.028,0.45,0.0,0.0,0.0,0.0,0.0,0.0,135.0,,92.0
3.41,2.58,0.04,0.026,0.084,0.047,1.02,0.0,0.24,0.0,0.0,0.0,160.0,,95.0
3.635,3.055,0.01,0.02,0.025,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2170.0,,
